"ID","NORTHING","EASTING","ELEVATION","START_DATE","END_DATE"
169246,226800,468200,84,"01-03-1997 00:00:00","31-10-2005 00:00:00"
169279,225000,471400,93,"01-01-1961 00:00:00","31-01-1982 00:00:00"
169305,224700,468800,90,"01-03-1961 00:00:00","31-12-1986 00:00:00"
169328,224300,473200,122,"01-03-1961 00:00:00","31-12-1986 00:00:00"
169403,227000,480100,123,"01-04-1963 00:00:00","30-06-1984 00:00:00"
169426,227000,479800,125,"01-01-1961 00:00:00","30-06-1963 00:00:00"
169477,224700,477100,107,"01-02-1982 00:00:00","31-12-2000 00:00:00"
169507,222800,473900,107,"01-03-1961 00:00:00","30-09-1968 00:00:00"
169526,221300,475100,184,"01-01-1964 00:00:00","31-12-1986 00:00:00"
169529,222300,476000,116,"01-03-1961 00:00:00","31-12-1961 00:00:00"
171450,228710,484850,109,"01-11-2008 00:00:00","30-09-2024 00:00:00"
171458,223886,500408,110,"01-01-1961 00:00:00","30-11-2009 00:00:00"
171615,216000,493400,107,"01-08-1997 00:00:00","30-09-1999 00:00:00"
171696,220400,493500,88,"01-08-1997 00:00:00","30-04-2000 00:00:00"
171773,224200,487800,119,"01-01-1961 00:00:00","31-12-1962 00:00:00"
171975,227129,495958,100,"01-07-1996 00:00:00","31-10-2014 00:00:00"
171992,228100,496000,109,"01-01-1961 00:00:00","30-04-1994 00:00:00"
172067,224700,493500,96,"01-04-1968 00:00:00","28-02-1986 00:00:00"
172095,226900,492400,76,"01-01-1961 00:00:00","31-01-1967 00:00:00"
172101,226200,491400,85,"01-01-1985 00:00:00","31-03-2003 00:00:00"
173378,228489,500206,149,"01-10-2010 00:00:00","30-09-2024 00:00:00"
175029,229000,519100,85,"01-01-1961 00:00:00","31-12-1970 00:00:00"
175102,227586,520186,70,"01-10-2010 00:00:00","30-09-2024 00:00:00"
175107,227393,518175,90,"01-12-1995 00:00:00","30-06-2019 00:00:00"
175126,226998,519843,90,"01-10-2019 00:00:00","31-12-2019 00:00:00"
175171,228900,518500,64,"01-01-1961 00:00:00","31-07-1991 00:00:00"
175652,227000,503000,101,"01-01-1984 00:00:00","31-10-2003 00:00:00"
240007,221800,500600,157,"01-01-1957 00:00:00","30-06-1960 00:00:00"
240011,223300,501500,131,"01-01-1961 00:00:00","31-03-1987 00:00:00"
240021,221100,502400,160,"01-01-1961 00:00:00","31-07-1976 00:00:00"
240054,225400,505200,122,"01-01-1961 00:00:00","31-07-1974 00:00:00"
240194,223200,508900,116,"01-01-1962 00:00:00","31-12-1965 00:00:00"
240201,221748,506458,137,"01-01-1997 00:00:00","30-06-2024 00:00:00"
240202,221748,506458,137,"01-01-1961 00:00:00","31-07-2000 00:00:00"
240203,221500,505600,187,"01-12-1964 00:00:00","30-04-1985 00:00:00"
240225,221700,509700,113,"01-01-1961 00:00:00","30-11-1973 00:00:00"
240280,217900,512100,95,"01-01-1892 00:00:00","30-04-1991 00:00:00"
240307,215000,513900,117,"01-01-1961 00:00:00","30-04-1962 00:00:00"
240350,214163,518008,86,"01-01-1997 00:00:00","30-09-2024 00:00:00"
240376,213900,520300,78,"01-02-1961 00:00:00","30-04-1963 00:00:00"
240416,213100,522700,102,"01-01-1961 00:00:00","31-12-1961 00:00:00"
240434,209000,522900,82,"01-01-1963 00:00:00","30-11-1978 00:00:00"
240453,207100,522300,79,"01-01-1961 00:00:00","30-06-1962 00:00:00"
240470,210007,524531,68,"01-01-1997 00:00:00","30-09-2024 00:00:00"
240520,207300,527700,110,"01-01-1961 00:00:00","31-12-1972 00:00:00"
240585,208100,529500,102,"01-05-1967 00:00:00","31-08-1974 00:00:00"
240662,227720,511070,147,"01-01-1997 00:00:00","31-05-2024 00:00:00"
240667,227200,511500,151,"01-01-1969 00:00:00","31-03-1969 00:00:00"
240747,222200,515500,146,"01-01-1961 00:00:00","31-10-1973 00:00:00"
240782,224000,518000,148,"01-01-1961 00:00:00","30-06-1975 00:00:00"
240816,220883,519267,98,"01-01-1997 00:00:00","30-09-2024 00:00:00"
240869,221600,511800,158,"01-02-1967 00:00:00","31-08-1989 00:00:00"
240954,218200,517500,88,"01-03-1963 00:00:00","28-02-1967 00:00:00"
241024,218300,521400,104,"01-01-1961 00:00:00","31-12-1961 00:00:00"
241044,216000,523200,67,"01-01-1961 00:00:00","31-12-1967 00:00:00"
241084,215700,523300,79,"01-01-1961 00:00:00","30-09-1970 00:00:00"
241091,215300,523900,65,"01-01-1961 00:00:00","31-05-1988 00:00:00"
241138,217000,527400,124,"01-01-1961 00:00:00","30-04-1964 00:00:00"
241148,217100,527200,122,"01-01-1969 00:00:00","30-09-1979 00:00:00"
241201,211000,528800,70,"01-01-1961 00:00:00","31-12-1962 00:00:00"
241243,229632,527592,108,"01-01-1997 00:00:00","30-09-2024 00:00:00"
241369,227000,530000,109,"01-01-1961 00:00:00","30-04-1968 00:00:00"
241458,222000,528400,70,"01-01-1961 00:00:00","31-05-2007 00:00:00"
241497,224100,522900,94,"01-01-1961 00:00:00","31-03-1982 00:00:00"
241515,225700,525000,138,"01-01-1961 00:00:00","31-03-1974 00:00:00"
241560,225400,526000,136,"01-06-1969 00:00:00","31-07-1972 00:00:00"
241592,219900,525400,92,"01-01-1962 00:00:00","28-02-1970 00:00:00"
241870,216800,528400,122,"01-07-1964 00:00:00","30-04-1965 00:00:00"
244606,202400,528300,91,"01-01-1961 00:00:00","30-04-1977 00:00:00"
244909,196800,526200,70,"01-01-1961 00:00:00","31-10-1990 00:00:00"
244944,193800,528400,42,"01-01-1961 00:00:00","31-07-1966 00:00:00"
244986,190900,527800,64,"01-01-1961 00:00:00","31-03-1972 00:00:00"
244992,190100,528100,92,"01-01-1965 00:00:00","31-07-1966 00:00:00"
245117,195200,529900,67,"01-01-1961 00:00:00","31-10-1987 00:00:00"
